"","Terms","2012","2013","2014","2015","2016","2017","2018"
"1","Alligator mississippiensis",1932,2139,1898,1958,1892,1668,1541
"2","Arapaima gigas",22,26,61,58,59,65,58
"3","Arctocephalus pusillus",18,37,11,6,4,4,4
"4","Caiman crocodilus",516,347,141,133,127,102,84
"5","Caiman crocodilus crocodilus",263,238,203,255,239,217,196
"6","Caiman crocodilus fuscus",722,720,691,598,548,507,474
"7","Caiman crocodilus yacare",77,271,386,383,448,416,332
"8","Caiman latirostris",38,45,44,62,62,50,51
"9","Caiman spp.",14,9,5,4,3,6,4
"10","Canis lupus",28,20,16,26,16,14,13
"11","Cerberus rynchops",24,18,11,21,19,14,10
"12","Crocodylia spp.",6,8,3,2,9,6,5
"13","Crocodylidae spp.",8,3,4,3,4,4,5
"14","Crocodylus acutus",22,30,25,33,32,33,51
"15","Crocodylus moreletii",12,13,22,16,19,9,11
"16","Crocodylus niloticus",1660,1856,1981,2126,1959,1685,1655
"17","Crocodylus novaeguineae",194,196,192,201,219,150,138
"18","Crocodylus porosus",1137,1093,1185,1168,1250,1076,1121
"19","Crocodylus siamensis",240,315,312,263,285,262,240
"20","Crocodylus spp.",24,16,13,23,13,19,17
"21","Daboia russelii",29,31,14,14,7,17,22
"22","Elaphe radiata",4,4,3,5,3,1,1
"23","Equus zebra hartmannae",13,17,20,9,8,5,4
"24","Eunectes notaeus",93,63,114,57,40,60,50
"25","Hippopotamus amphibius",30,34,20,27,22,23,26
"26","Lontra canadensis",27,42,30,34,19,19,22
"27","Loxodonta africana",81,77,80,77,61,45,36
"28","Lycalopex culpaeus",5,9,7,1,3,3,1
"29","Lycalopex griseus",47,56,46,28,21,42,19
"30","Lycalopex gymnocercus",11,13,12,6,5,3,3
"31","Lynx canadensis",57,66,68,63,27,34,35
"32","Lynx rufus",94,87,88,83,74,59,55
"33","Melanosuchus niger",3,4,2,2,3,4,2
"34","Naja sputatrix",137,123,98,121,53,27,32
"35","Panthera leo",9,23,15,14,11,7,4
"36","Panthera tigris",4,13,8,8,2,1,4
"37","Pecari tajacu",61,59,62,50,49,36,56
"38","Ptyas mucosus",191,145,141,117,126,105,56
"39","Puma concolor",9,13,12,9,10,6,3
"40","Python bivittatus",853,919,910,798,711,710,711
"41","Python breitensteini",229,184,197,233,159,107,64
"42","Python brongersmai",363,499,399,331,325,257,248
"43","Python curtus",88,76,34,25,16,19,15
"44","Python molurus",84,120,99,85,64,57,70
"45","Python reticulatus",2182,2094,1903,2024,1928,1636,1440
"46","Python sebae",47,46,34,25,54,16,8
"47","Python spp.",39,28,30,25,20,21,13
"48","Salvator merianae",285,252,202,215,217,194,158
"49","Salvator rufescens",190,181,161,133,131,105,96
"50","Tayassu pecari",54,47,44,35,36,39,29
"51","Tupinambis spp.",23,20,9,19,14,18,12
"52","Tupinambis teguixin",42,28,19,30,24,24,5
"53","Ursus americanus",18,28,18,19,20,16,7
"54","Ursus arctos",12,16,10,9,8,5,5
"55","Ursus maritimus",12,13,10,14,16,17,7
"56","Varanus niloticus",772,688,660,647,617,521,493
"57","Varanus salvator",751,798,761,806,836,780,770
"58","Varanus spp.",12,16,18,17,8,13,7
"59","Vicugna vicugna",13,17,13,17,15,7,7
