Country ,Country Code,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,44057,44348,44665,44979,45296,45616,45948,
Afghanistan,AFG,7528588,7865067,8204877,8535606,8852859,9164841,9477100,
Angola,AGO,15383127,16130304,16900847,17691524,18502165,19332881,20184707,
Albania,ALB,1575788,1603505,1630119,1654503,1680247,1706345,1728969,
Andorra,AND,73056,71515,70057,68919,68213,67876,67813,
Arab World,ARB,212088831,217954646,223793603,229821020,235729166,241543662,247363361,
United Arab Emirates,ARE,7747411,7824294,7866602,7935897,8047166,8182523,8332898,
Argentina,ARG,38027774,38509756,38990109,39467043,39940546,40410674,40877099,
Armenia,ARM,1823986,1830230,1838076,1845585,1852180,1858263,1864017,
American Samoa,ASM,48664,48664,48699,48689,48605,48484,48339,
Antigua and Barbuda,ATG,23078,23199,23302,23392,23486,23583,23685,
Australia,AUS,19414834,19775013,20095657,20410546,20755798,21133982,21488110,
Austria,AUT,4817487,4861991,4916377,4988134,5058968,5110858,5153759,
Azerbaijan,AZE,5008847,5098727,5189181,5279540,5368846,5453517,5534481,
Burundi,BDI,1034996,1095416,1159264,1227128,1299253,1375682,1456375,
Belgium,BEL,10856360,10912673,10966157,11034732,11095615,11143219,11204705,
Benin,BEN,4293031,4466248,4646155,4832681,5026048,5226419,5433806,
Burkina Faso,BFA,4269913,4497993,4736618,4985855,5245972,5516726,5798656,
Bangladesh,BGD,48311928,50048763,51818338,53608403,55420910,57254681,59107944,
Bulgaria,BGR,5331472,5326274,5320503,5310996,5298039,5283539,5269340,
Bahrain,BHR,1153855,1168206,1187971,1220934,1270237,1332505,1401305,
"Bahamas, The",BHS,300073,303266,306395,309640,313048,316575,320178,
Bosnia and Herzegovina,BIH,1665461,1647984,1631018,1617732,1609086,1604577,1603630,
Belarus,BLR,7164339,7212995,7266287,7324181,7378986,7421374,7453556,
Belize,BLZ,152931,156547,160198,163885,167604,171354,175155,
Bermuda,BMU,64798,65001,65139,65239,64555,63874,63973,
Bolivia,BOL,6985733,7137083,7285464,7434134,7583048,7732024,7881919,
Brazil,BRA,169240750,171300683,173346772,175375436,177386818,179379301,181335507,
Barbados,BRB,89516,89351,89230,89161,89148,89187,89280,
Brunei Darussalam,BRN,301859,307348,312785,318080,323204,328169,332999,
Bhutan,BTN,255173,263846,272652,281528,290470,299472,308509,
Botswana,BWA,1320976,1352446,1386171,1424167,1467315,1514923,1565400,
Central African Republic,CAF,1747415,1764187,1783840,1809714,1843118,1883452,1930200,
Canada,CAN,28166078,28479640,28781576,29011826,29357013,29727992,30169097,
Central Europe and the Baltics,CEB,64524893,64402919,64285250,64165146,64046568,63953451,63911751,
Switzerland,CHE,5889928,5959745,6034707,6105617,6174416,6234162,6282506,
Channel Islands,CHI,50333,50586,50863,51207,51629,52141,52708,
Chile,CHL,15171189,15330437,15504104,15698027,15918731,16159787,16400002,
China,CHN,699187267,719587859,740239259,761027100,782199374,803554542,823827650,
Cote d'Ivoire,CIV,10379711,10732981,11100535,11483934,11883008,12298401,12729904,
Cameroon,CMR,11337560,11783316,12242760,12715783,13202425,13702203,14215401,
"Congo, Dem. Rep.",COD,28355103,29704531,31115109,32586918,34121207,35717778,37376673,
"Congo, Rep.",COG,2894149,2987552,3083060,3182830,3287509,3396521,3509318,
Colombia,COL,36262940,36761204,37300597,37904385,38589139,39338952,40105215,
Comoros,COM,203574,209275,215196,221333,227690,234271,241082,
Cabo Verde,CPV,317394,324023,330707,337410,344098,350776,357429,
Costa Rica,CRI,3466588,3555158,3641672,3726119,3808506,3888684,3966556,
Caribbean small states,CSS,3572970,3603786,3635507,3667777,3700581,3733908,3767742,
Cuba,CUB,8643315,8668175,8690598,8708304,8720099,8728621,8734561,
Curacao,CUW,136353,137738,139450,141158,142535,142881,142454,
Cayman Islands,CYM,58958,59932,60848,61724,62569,63382,64174,
Cyprus,CYP,763443,767957,772388,777233,782633,788451,794548,
Czech Republic,CZE,7693579,7705910,7723921,7748928,7773650,7805452,7844036,
Germany,DEU,62064608,62242278,62510392,63062064,63592936,63861626,64096118,
