Country,2012,2013,2014,2015,2016,2017,2018
Afghanistan,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Albania,315.6,285.7,334.1,378.4,407,464.3,534
Algeria,263.4,273.3,230.1,171,203.9,245.1,265.7
American Samoa,2.26,2.08,2.16,2.03,2.01,2,2.02
Andorra,223.8,232.8,236.3,266.3,281.9,300.3,304.2
Angola,52.8,65,59.5,59.2,39.7,26.1,21.8
Antigua and Barbuda,24.7,24.3,24.9,25,26.5,24.7,26.9
Argentina,649.7,651,716.5,681.6,666.8,671.1,694.2
Armenia,96.3,108.4,120.4,119.2,126,149.5,165.2
Aruba,90.4,97.9,107.2,122.5,110.2,107.05,108.2
Australia,603.2,648.2,692.2,744.9,826.9,881.5,924.6
Austria,2415.1,2481.3,2529.1,2672.8,2812.1,2946,3081.6
Azerbaijan,198.6,213,216,192.2,204.4,245.4,263.3
"Bahamas, The",142.2,136.6,144.6,150.2,150,144.2,163.3
Bahrain,806.2,916.3,1045.2,967,1015.8,1137.4,1204.5
Bangladesh,12.5,14.8,12.5,64.3,83,102.6,123.17
Barbados,53.6,50.9,52.1,59.2,63.2,66.4,68
Belarus,612.99,624.18,537.49,438.56,1093.54,1106.02,1150.16
Belgium,756,768.4,788.7,835.5,748.1,838.5,911.9
Belize,27.7,29.4,32.1,34.1,38.6,42.7,48.9
Benin,22,23.1,24.2,25.5,26.7,28.1,29.5
Bermuda,23.2,23.6,22.4,22,24.4,27,28.2
Bhutan,10.5,11.6,13.3,15.5,21,25.5,27.4
Bolivia,79.8,79.8,87.1,88.2,96.1,110.9,114.2
Bosnia and Herzegovina,43.9,52.9,53.6,67.8,77.8,92.3,105.3
Botswana,161.4,154.4,196.6,152.8,157.4,162.3,166.4
Brazil,567.7,581.3,643,630.6,654.7,658.9,662.1
British Virgin Islands,35.1,36.6,38.6,39.3,40.8,33.5,19.2
Brunei Darussalam,20.9,22.5,20.1,21.8,21.9,25.9,27.8
Bulgaria,654.1,689.8,731.1,709.9,825.2,888.3,927.3
Burkina Faso,23.7,21.8,19.1,16.3,15.2,14.3,14.4
Burundi,14.7,23.4,23.5,13.1,18.7,29.9,39.8
Cabo Verde,48.2,50.3,49.4,52,59.8,66.8,71
Cambodia,358.4,421,450.3,477.5,501.2,560.2,620.1
Cameroon,81.7,78.3,82.2,89.7,99.4,108.1,115.7
Canada,1634.4,1605.9,1653.7,1797.1,1997.1,2088.3,2113.4
Cayman Islands,32.2,34.5,38.3,38.5,38.5,41.8,46.3
Central African Republic,7.08,8.35,9.57,12.05,8.2,10.7,#VALUE!
Chad,8.6,9.7,11.9,12,9.8,8.7,7.72
Channel Islands,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Chile,355.4,357.6,367.4,447.8,564.1,645,572.3
China,5772.5,5568.6,5562.2,5688.6,5927,6074,6290
Colombia,217.9,228.8,255.2,298,325.4,363.1,390.4
Comoros,2.28,2.19,2.28,2.36,2.68,2.8,3.59
"Congo, Dem. Rep.",16.7,19.1,33.4,35.4,35.1,#VALUE!,#VALUE!
"Congo, Rep.",25.6,34.3,22.6,22,21.1,14.9,15.6
Costa Rica,234.3,242.8,252.7,266,292.5,296,301.7
Cote d'Ivoire,28.9,38,47.1,144.1,158.3,180,196.5
Croatia,1036.9,1094.8,1162.3,1268.3,1380.9,1559.3,1664.5
Cuba,282.3,283.9,298.1,350.6,397.5,459.4,468.4
Curacao,42.1,44.1,45.2,46.8,44.1,39.9,43.2
Cyprus,246.5,240.5,244.1,265.9,318.7,365.2,393.9
Czech Republic,764.7,785.2,809.6,870.7,932.1,1016,1061.1
Denmark,844.3,855.7,1026.7,1042.4,1078.1,1242.6,1274.9
Djibouti,6,6.3,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Dominica,7.9,7.8,8.15,7.5,7.8,7.2,6.3
Dominican Republic,456.3,469,514.14,560,595.93,618.8,656.9
Ecuador,127.2,136.4,169.5,167.6,156.9,180.6,253.5
"Egypt, Arab Rep.",1119.6,917.4,962.83,913.9,525.8,815.7,1119.6
El Salvador,125.5,128.3,134.5,140.2,143.4,155.6,167.73
Equatorial Guinea,16.58,17.63,18.69,19.4,20.15,21.8,22.35
Eritrea,12.9,14.1,11.9,11.4,14.2,#VALUE!,#VALUE!
Estonia,295.7,311.1,316,296.1,313.1,324.4,323.4
Eswatini,88.8,96.8,93.9,87.3,94.7,92.1,78.2
Ethiopia,59.7,68.1,77,86.4,87.1,93.3,84.9
Faroe Islands,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Fiji,66.1,65.9,69.3,75.5,79.2,84.3,87
Finland,277.8,279.7,273.1,262.2,278.9,318,322.4
France,8198,8363.4,8370.1,8445.2,8268.2,8675.8,8932.2
French Polynesia,16.9,16.4,18.1,18.4,19.2,19.9,21.63
Gabon,18.34,19.54,21.34,22.74,23.4,22.98,23.56
"Gambia, The",15.7,17.1,15.6,44.9,45,52.2,55.2
Georgia,246,288.4,293.9,301.2,329.7,406.94,475.7
Germany,3041.1,3154.5,3299.9,3497,3555.5,3745.2,3888.1
Ghana,90.3,99.4,82.5,89.7,96,103,109.5
Gibraltar,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Greece,1551.8,1792,2203.3,2359.9,2479.9,2719.4,3012.3
Greenland,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Grenada,12.5,12.8,15,15.5,15.6,16.8,18.5
Guam,130.8,133.4,134.3,140.9,153.6,154.5,154.9
Guatemala,120,122.4,137.1,147.3,158.5,166,178.1
Guinea,9.6,5.6,3.3,3.5,6.3,9.9,13.3
Guinea-Bissau,3.54,3.55,3.61,4.38,4.52,#VALUE!,#VALUE!
Guyana,17.7,20,20.6,20.7,23.5,24.7,28.7
Haiti,34.9,42,46.52,51.6,44.5,46.7,44.7
Honduras,89.5,86.3,86.8,88,83.8,85.1,86.25
"Hong Kong SAR, China",2377,2566.1,2777,2668.6,2655.3,2788.4,2926.3
Hungary,1035.3,1062.4,1214,1431.6,1525.5,1578.5,1755.2
Iceland,67.3,80.73,99.7,128.9,179.2,222.5,234.38
India,657.8,696.8,1310.7,1328.4,1457,1554.3,1742.3
Indonesia,804.4,880.2,943.5,1040.7,1151.9,1404,1581
"Iran, Islamic Rep.",383.4,476.9,496.8,523.7,494.2,486.7,729.5
Iraq,111.1,89.2,10.234,9.84,6.43,5.434,6.532
Ireland,755,826,881.3,952.8,1010,1033.8,1092.6
Isle of Man,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Israel,288.6,296.2,292.7,279.9,290,361.3,412.1
Italy,4636,4770.4,4857.6,5073.2,5237.2,5825.3,6156.72
Jamaica,198.6,200.84,208,212.3,218.2,235.3,247.3
Japan,835.8,1036.4,1341.3,1973.7,2404,2869.1,3119.2
Jordan,416.2,394.5,399,376.1,356.7,384.35,415
Kazakhstan,616.3,684.1,633.3,643,650.9,770.1,878.9
Kenya,161.9,143.4,126.1,111.4,126.8,136.4,137.345
Kiribati,0.49,0.59,0.5,0.39,0.57,0.58,0.71
"Korea, Dem. People’s Rep.",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
"Korea, Rep.",1114,1217.6,1420.2,1323.2,1724.2,1333.6,1534.7
Kosovo,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Kuwait,572.9,621.7,652.8,694.1,705.5,740.7,850.8
Kyrgyz Republic,34.8,41.5,41.3,40.2,32.1,42.1,42.3
Lao PDR,229.1,270,316.4,354.3,331.5,325.7,377
Latvia,143.5,153.6,184.3,202.4,179.3,194.9,194.6
Lebanon,136.6,127.4,135.5,151.8,168.8,185.7,196.4
Lesotho,42.3,43.3,107.9,108.2,119.6,113.7,117.3
Liberia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Libya,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Liechtenstein,6.24,5.96,6.13,5.67,6.91,7.93,8.53
Lithuania,190,201.2,206.3,207.1,229.6,252.3,282.5
Luxembourg,95,94.5,103.8,109,105.4,104.6,101.8
"Macao SAR, China",1357.7,1426.8,1456.6,1430.8,1570.36,1725.5,1849.3
Madagascar,25.6,19.6,22.2,24.4,29.3,25.5,29.1
Malawi,77,79.5,81.9,80.5,84.9,83.7,87.1
Malaysia,2503.3,2571.5,2743.7,2572.1,2675.7,2594.8,2583.2
Maldives,95.8,112.5,120.5,123.4,128.6,139,148.4
Mali,3.2,5.7,5.3,1.5,4.15,1.1,1.4
Malta,144.3,158.2,169,178.3,196.6,227.4,259.9
Marshall Islands,0.46,#VALUE!,0.49,0.63,0.54,0.6,0.68
Mauritania,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Mauritius,96.5,99.3,103.8,115.1,127.5,134.2,139.9
Mexico,2340.3,2415.1,2934.6,3209.3,3507.9,3929.1,4131.3
"Micronesia, Fed. Sts.",3.83,4.21,3.54,3.12,2.96,#VALUE!,1.92
Moldova,8.9,9.56,9.39,9.44,12.1,14.5,16
Monaco,29.2,32.8,32.9,33.1,33.6,35.5,34.7
Mongolia,47.6,41.8,39.3,38.6,40.4,46.9,52.9
Montenegro,126.4,132.4,135,156,166.2,187.7,207.7
Morocco,937.5,1004.6,1028.3,1017.7,1033.2,1134.9,1228.9
Mozambique,211.3,188.6,166.1,155.2,163.9,144.7,274.3
Myanmar,105.9,204.4,308.1,468.1,290.7,344.3,355.1
Namibia,107.9,117.6,132,138.8,146.9,149.9,152.77
Nauru,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Nepal,80.3,79.8,79,53.9,75.3,94,117.3
