,Country,year,Revenue,II,UP,CPS,EI,IA,lnRevenue,lnII,lnUP,lnCPS,lnEI,lnIA,,,,
1,1,2012,64.592,0.7,1575788,33,0.743,315.6,4.168090564,-0.356674944,14.27026602,3.496507561,-0.297059234,5.754475589,,,,
2,1,2013,69.485,0.705,1603505,31,0.763,285.7,4.241110902,-0.349557476,14.28770242,3.433987204,-0.270497248,5.654942309,,,,
3,1,2014,71.377,0.707,1630119,31,0.774,334.1,4.267975689,-0.346724613,14.30416358,3.433987204,-0.256183405,5.811440349,,,,
4,1,2015,75.004,0.711,1654503,36,0.77,378.4,4.317541445,-0.341082849,14.31901122,3.583518938,-0.261364764,5.935951837,,,,
5,1,2016,81.227,0.717,1680247,39,0.761,407,4.397247704,-0.332679438,14.33445136,3.663561646,-0.273121921,6.008813185,,,,
6,1,2017,88.391,0.721,1706345,38,0.758,464.3,4.481770155,-0.327116142,14.34986421,3.63758616,-0.277071893,6.140530895,,,,
7,1,2018,96.292,0.727,1728969,36,0.758,534,4.567385242,-0.318828801,14.36303584,3.583518938,-0.277071893,6.280395839,,,,
8,2,2012,310.28,0.734,25763106,34,0.639,263.4,5.737475116,-0.30924625,17.06445403,3.526360525,-0.447850825,5.573673789,,,,
9,2,2013,347.584,0.735,26536378,36,0.659,273.3,5.851006362,-0.30788478,17.0940271,3.583518938,-0.417031744,5.610570093,,,,
10,2,2014,368.687,0.737,27332602,36,0.662,230.1,5.909948046,-0.305167387,17.12359076,3.583518938,-0.412489723,5.438513997,,,,
11,2,2015,358.35,0.739,28146511,36,0.663,171,5.881510162,-0.302457358,17.15293396,3.583518938,-0.410980289,5.141663557,,,,
12,2,2016,336.326,0.745,28977628,34,0.668,203.9,5.818080928,-0.294371061,17.18203464,3.526360525,-0.403467105,5.317629678,,,,
13,2,2017,321.695,0.743,29821745,33,0.674,245.1,5.773603892,-0.297059234,17.21074838,3.496507561,-0.394525168,5.501666291,,,,
14,2,2018,331.471,0.743,30670086,35,0.675,265.7,5.803540325,-0.297059234,17.23879834,3.555348061,-0.393042588,5.582367853,,,,
